date,fuel,mwh
2/11/2007,Gas,272261.73
2/11/2007,Hydro,523.06
2/11/2007,Nuclear,120169.71
2/11/2007,Oth,7200.04
2/11/2007,Wnd,26247.00
2/12/2007,Coal,302530.60
2/12/2007,Gas,267999.51
2/12/2007,Hydro,912.84
2/12/2007,Nuclear,120041.51
2/12/2007,Oth,5681.22
2/12/2007,Wnd,35584.18
2/13/2007,Coal,311291.36
2/13/2007,Gas,317303.38
2/13/2007,Hydro,1251.49
2/13/2007,Nuclear,119925.15
2/13/2007,Oth,8254.98
2/13/2007,Wnd,36496.23
2/14/2007,Coal,337609.33
2/14/2007,Gas,474707.08
2/14/2007,Hydro,1465.81
2/14/2007,Nuclear,120057.93
2/14/2007,Oth,14464.64
2/14/2007,Wnd,15812.36
2/15/2007,Coal,327159.37
2/15/2007,Gas,522734.97
2/15/2007,Hydro,1879.81
2/15/2007,Nuclear,120093.04
2/15/2007,Oth,15941.47
2/15/2007,Wnd,6341.31
2/16/2007,Coal,317835.31
2/16/2007,Gas,464464.24
2/16/2007,Hydro,1268.41
2/16/2007,Nuclear,120130.97
2/16/2007,Oth,15069.22
2/16/2007,Wnd,33797.92
2/17/2007,Coal,304532.39
2/17/2007,Gas,311246.44
2/17/2007,Hydro,1366.85
2/17/2007,Nuclear,120136.86
2/17/2007,Oth,12185.49
2/17/2007,Wnd,28517.58
2/18/2007,Coal,292154.61
2/18/2007,Gas,272187.23
2/18/2007,Hydro,1166.67
2/18/2007,Nuclear,119742.47
2/18/2007,Oth,9343.79
2/18/2007,Wnd,35660.33
2/19/2007,Coal,296140.28
2/19/2007,Gas,275530.92
2/19/2007,Hydro,564.44
2/19/2007,Nuclear,119184.46
2/19/2007,Oth,8405.09
2/19/2007,Wnd,39717.90
2/20/2007,Coal,273555.09
2/20/2007,Gas,243291.97
2/20/2007,Hydro,544.94
2/20/2007,Nuclear,118517.91
2/20/2007,Oth,6584.75
2/20/2007,Wnd,39466.86
2/21/2007,Coal,285971.03
2/21/2007,Gas,252573.72
2/21/2007,Hydro,626.30
2/21/2007,Nuclear,117936.62
2/21/2007,Oth,8555.38
2/21/2007,Wnd,19887.23
2/22/2007,Coal,286389.07
2/22/2007,Gas,253078.98
2/22/2007,Hydro,884.58
2/22/2007,Nuclear,117477.38
2/22/2007,Oth,8738.98
2/22/2007,Wnd,23377.94
2/23/2007,Coal,281187.32
2/23/2007,Gas,230294.86
2/23/2007,Hydro,1374.68
2/23/2007,Nuclear,116873.40
2/23/2007,Oth,8465.85
2/23/2007,Wnd,48156.17
2/24/2007,Coal,258357.12
2/24/2007,Gas,236128.20
2/24/2007,Hydro,796.56
2/24/2007,Nuclear,101858.04
2/24/2007,Oth,7695.65
2/24/2007,Wnd,36035.41
2/25/2007,Coal,267257.12
2/25/2007,Gas,245434.65
2/25/2007,Hydro,1073.56
2/25/2007,Nuclear,88913.59
2/25/2007,Oth,9181.69
2/25/2007,Wnd,15733.82
2/26/2007,Coal,285626.63
2/26/2007,Gas,289708.45
2/26/2007,Hydro,1137.69
2/26/2007,Nuclear,89450.86
2/26/2007,Oth,9032.17
2/26/2007,Wnd,29506.75
2/27/2007,Coal,284544.94
2/27/2007,Gas,292935.63
2/27/2007,Hydro,1161.10
2/27/2007,Nuclear,89064.67
2/27/2007,Oth,8844.92
2/27/2007,Wnd,24238.59
2/28/2007,Coal,284331.82
2/28/2007,Gas,280367.73
2/28/2007,Hydro,938.36
2/28/2007,Nuclear,89246.78
2/28/2007,Oth,9480.74
2/28/2007,Wnd,32906.87
3/1/2007,Coal,279540.23
3/1/2007,Gas,271734.82
3/1/2007,Hydro,1183.88
3/1/2007,Nuclear,88901.04
3/1/2007,Oth,9679.85
3/1/2007,Wnd,29193.46
3/2/2007,Coal,273518.31
3/2/2007,Gas,306467.13
3/2/2007,Hydro,1003.67
3/2/2007,Nuclear,89050.58
3/2/2007,Oth,12829.72
3/2/2007,Wnd,12432.22
3/3/2007,Coal,244807.73
3/3/2007,Gas,306808.31
3/3/2007,Hydro,690.79
3/3/2007,Nuclear,88876.17
3/3/2007,Oth,11816.37
3/3/2007,Wnd,30205.24
3/4/2007,Coal,252271.88
3/4/2007,Gas,347619.45
3/4/2007,Hydro,790.59
3/4/2007,Nuclear,88763.25
3/4/2007,Oth,12962.23
3/4/2007,Wnd,3459.36
3/5/2007,Coal,241890.32
3/5/2007,Gas,386531.27
3/5/2007,Hydro,1248.37
3/5/2007,Nuclear,88412.04
3/5/2007,Oth,13751.48
3/5/2007,Wnd,13837.55
3/6/2007,Coal,237353.29
3/6/2007,Gas,345996.62
3/6/2007,Hydro,975.15
3/6/2007,Nuclear,88337.20
3/6/2007,Oth,11326.01
3/6/2007,Wnd,35864.22
3/7/2007,Coal,240517.62
3/7/2007,Gas,346394.74
3/7/2007,Hydro,1147.51
3/7/2007,Nuclear,87870.55
3/7/2007,Oth,10472.91
3/7/2007,Wnd,20742.45
3/8/2007,Coal,254068.30
3/8/2007,Gas,322197.90
3/8/2007,Hydro,858.34
3/8/2007,Nuclear,87824.50
3/8/2007,Oth,9394.77
3/8/2007,Wnd,23498.61
3/9/2007,Coal,249986.56
3/9/2007,Gas,323621.55
3/9/2007,Hydro,808.32
3/9/2007,Nuclear,87714.72
3/9/2007,Oth,9638.38
3/9/2007,Wnd,17602.22
3/10/2007,Coal,243739.37
3/10/2007,Gas,295855.17
3/10/2007,Hydro,505.47
3/10/2007,Nuclear,87310.73
3/10/2007,Oth,4384.17
3/10/2007,Wnd,25389.87
3/11/2007,Coal,226571.95
3/11/2007,Gas,261348.53
3/11/2007,Hydro,973.62
3/11/2007,Nuclear,83555.19
3/11/2007,Oth,4273.16
3/11/2007,Wnd,23651.44
3/12/2007,Coal,245092.83
3/12/2007,Gas,335115.57
3/12/2007,Hydro,1809.39
3/12/2007,Nuclear,86545.06
3/12/2007,Oth,9828.98
3/12/2007,Wnd,2810.73
3/13/2007,Coal,220796.84
3/13/2007,Gas,358094.35
3/13/2007,Hydro,1669.87
3/13/2007,Nuclear,86288.21
3/13/2007,Oth,11522.78
3/13/2007,Wnd,6069.37
3/14/2007,Coal,221296.90
3/14/2007,Gas,348616.16
3/14/2007,Hydro,843.19
3/14/2007,Nuclear,86113.46
3/14/2007,Oth,12069.09
3/14/2007,Wnd,12284.21
3/15/2007,Coal,225404.38
3/15/2007,Gas,365396.70
3/15/2007,Hydro,1391.97
3/15/2007,Nuclear,86133.34
3/15/2007,Oth,9759.13
3/15/2007,Wnd,14588.92
3/16/2007,Coal,240960.13
3/16/2007,Gas,322601.52
3/16/2007,Hydro,525.58
3/16/2007,Nuclear,85940.08
3/16/2007,Oth,9816.37
3/16/2007,Wnd,21096.44
3/17/2007,Coal,230473.22
3/17/2007,Gas,281972.91
3/17/2007,Hydro,596.02
3/17/2007,Nuclear,85765.46
3/17/2007,Oth,8613.25
3/17/2007,Wnd,23925.91
3/18/2007,Coal,228878.33
3/18/2007,Gas,257554.01
3/18/2007,Hydro,631.92
3/18/2007,Nuclear,85720.40
3/18/2007,Oth,6950.57
3/18/2007,Wnd,43291.94
3/19/2007,Coal,233017.99
3/19/2007,Gas,321021.44
3/19/2007,Hydro,728.96
3/19/2007,Nuclear,85353.65
3/19/2007,Oth,11725.27
3/19/2007,Wnd,46300.29
3/20/2007,Coal,227595.86
3/20/2007,Gas,343233.54
3/20/2007,Hydro,549.81
3/20/2007,Nuclear,85250.68
3/20/2007,Oth,10518.46
3/20/2007,Wnd,39213.18
3/21/2007,Coal,233232.03
3/21/2007,Gas,343675.30
3/21/2007,Hydro,673.18
3/21/2007,Nuclear,84754.85
3/21/2007,Oth,11279.42
3/21/2007,Wnd,46921.84
3/22/2007,Coal,262141.46
3/22/2007,Gas,315659.64
3/22/2007,Hydro,383.73
3/22/2007,Nuclear,84738.70
3/22/2007,Oth,9761.42
3/22/2007,Wnd,38347.16
3/23/2007,Coal,263732.47
3/23/2007,Gas,308398.35
3/23/2007,Hydro,685.40
3/23/2007,Nuclear,84458.32
3/23/2007,Oth,8953.88
3/23/2007,Wnd,49181.43
3/24/2007,Coal,262934.82
3/24/2007,Gas,301097.12
3/24/2007,Hydro,689.48
3/24/2007,Nuclear,81258.53
3/24/2007,Oth,5123.06
3/24/2007,Wnd,23342.27
3/25/2007,Coal,272466.56
3/25/2007,Gas,294283.20
3/25/2007,Hydro,818.75
3/25/2007,Nuclear,60071.50
3/25/2007,Oth,5147.11
3/25/2007,Wnd,30458.05
3/26/2007,Coal,262494.12
3/26/2007,Gas,363075.36
3/26/2007,Hydro,1663.31
3/26/2007,Nuclear,60183.57
3/26/2007,Oth,10198.73
3/26/2007,Wnd,10097.40
3/27/2007,Coal,264364.42
3/27/2007,Gas,380230.32
3/27/2007,Hydro,2560.48
3/27/2007,Nuclear,60335.71
3/27/2007,Oth,11436.69
3/27/2007,Wnd,11386.60
3/28/2007,Coal,246460.72
3/28/2007,Gas,388497.51
3/28/2007,Hydro,2240.44
3/28/2007,Nuclear,60299.44
3/28/2007,Oth,11465.10
3/28/2007,Wnd,48195.60
3/29/2007,Coal,251665.52
3/29/2007,Gas,412280.74
3/29/2007,Hydro,1723.46
3/29/2007,Nuclear,60296.30
3/29/2007,Oth,11813.86
3/29/2007,Wnd,13031.04
3/30/2007,Coal,253510.57
3/30/2007,Gas,375167.14
3/30/2007,Hydro,2171.40
3/30/2007,Nuclear,60246.84
3/30/2007,Oth,12220.08
3/30/2007,Wnd,17488.15
3/31/2007,Coal,252000.60
3/31/2007,Gas,316706.46
3/31/2007,Hydro,3640.91
3/31/2007,Nuclear,60276.75
3/31/2007,Oth,5616.60
3/31/2007,Wnd,10066.84
4/1/2007,Coal,256094.97
4/1/2007,Gas,311427.72
4/1/2007,Hydro,3900.25
4/1/2007,Nuclear,60339.21
4/1/2007,Oth,9011.79
4/1/2007,Wnd,20542.45
4/2/2007,Coal,265265.93
4/2/2007,Gas,376734.11
4/2/2007,Hydro,4022.90
4/2/2007,Nuclear,60305.28
4/2/2007,Oth,10991.23
4/2/2007,Wnd,34295.69
4/3/2007,Coal,271164.19
4/3/2007,Gas,433222.25
4/3/2007,Hydro,3811.62
4/3/2007,Nuclear,60282.09
4/3/2007,Oth,14562.42
4/3/2007,Wnd,28460.86
