variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
win_state_g[37],0.1556000000000002,0,0.36249383467585905,0,0,1,0.9999421909157218,10189.303342648012,NA
win_state_g[38],4.000000000000145e-4,0,0.019996999474890077,0,0,0,1.0002674862784724,10037.534823626505,10037.534823626505
win_state_g[39],0.08769999999999992,0,0.28287225327200377,0,0,1,0.9996074709519557,9791.335228592234,NA
win_state_g[40],2.0000000000001543e-4,0,0.014141428428549645,0,0,0,0.9999466652443686,10034.305464211331,10034.305464211331
win_state_g[41],0.6607999999999993,1,0.4734614837319201,0,0,1,0.9998637106801339,11028.256382352532,NA
win_state_g[42],0.21729999999999963,0,0.4124290481670431,0,0,1,0.9999627075131432,10767.58542848434,NA
win_state_g[43],0.7785999999999995,1,0.41520992272339974,0,0,1,1.0000314828437602,9865.14664920622,NA
win_state_g[44],0.035699999999999885,0,0.1855504052684558,0,0,0,0.9997584723256729,10055.007242229714,10055.007242229698
win_state_g[45],0.0039000000000000016,0,0.06233120019582812,0,0,0,0.9995935931235922,10108.178166053785,10108.178166053785
win_state_g[46],0.0014999999999999603,0,0.03870271036993232,0,0,0,0.9999369428129226,10060.661797735578,10060.661797735573
win_state_g[47],0.07419999999999957,0,0.26210919503715235,0,0,1,1.0002210888853136,9152.43631482619,NA
win_state_g[48],0.0014999999999999812,0,0.038702710369931836,0,0,0,0.9999369428129226,8006.878444075382,8006.878444075382
win_state_g[49],0.9895999999999999,1,0.10145377906676753,0,1,1,1.0003115314709556,9850.324538332301,NA
win_state_g[50],0.42910000000000037,0,0.4949724131393549,0,0,1,0.9997313582812372,11829.154353044765,NA
win_state_g[51],0.7466999999999998,1,0.43492301135098826,0,0,1,0.9999440177473345,10565.032223079683,NA
win_state_g[52],3.000000000000073e-4,0,0.017318775765029198,0,0,0,0.9998933276438375,10036.458052252543,10036.45805225254
win_state_g[53],0.2770999999999997,0,0.44758867675845154,0,0,1,0.9995490697825598,9731.107290638618,NA
win_state_g[54],2.0000000000001568e-4,0,0.014141428428549183,0,0,0,0.9999466652443686,10034.305464211337,10034.305464211331
win_state_g[55],0.27660000000000023,0,0.4473393021467089,0,0,1,0.9999025117381349,10744.999945339017,NA
win_state_g[56],0.0012999999999999737,0,0.03603387078825,0,0,0,0.9998857980199214,10056.72680503938,10056.726805039376
win_state_g[57],0.4460999999999997,0,0.4971111565336343,0,0,1,0.9995084545889764,11880.861323592802,NA
