variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
delta_theta[29],-0.027116837959915,-0.028196850000000002,0.06581918338409777,0.06591446862,-0.13398205,0.08328559999999978,1.000579985854301,11078.982078078849,9746.269477341684
delta_theta[30],-0.026685246719776,-0.02662585,0.06942525624292532,0.07076657364000001,-0.14037589999999997,0.08673726499999997,0.9997103991319267,11167.41420698725,9936.94709399346
delta_theta[31],-0.02862003918237,-0.0291386,0.043853651375683304,0.043333506929999994,-0.099593265,0.044444334999999995,1.0001514005721455,12366.584649546841,9696.792608274653
delta_theta[32],-0.025237845591068,-0.0250576,0.06854047947669749,0.06926121573,-0.13834485,0.087011260000000007,0.9999240069337582,11378.66634716434,9450.91070198622
delta_theta[33],-0.025566001946449,-0.02592585,0.06984218728541984,0.06986174285999999,-0.14058505,0.08943823999999995,1.0002912410444968,11754.5097734847,9786.795933024567
delta_theta[34],-0.026094605092930004,-0.0255791,0.07008703061012955,0.07059562986,-0.14066829999999997,0.08857794999999993,1.0001705773513125,12357.882333525231,9782.21736550546
delta_theta[35],-0.027157812442378,-0.02769225,0.07051907807951747,0.0708126825,-0.14280465,0.0903084349999999,0.9998411934590676,12615.283286746131,9955.500077746037
delta_theta[36],-0.02656413296714,-0.026419699999999997,0.06881534175816881,0.06827706585,-0.13966555000000003,0.08500839499999999,1.0004644092444352,11888.980327391899,10029.54818959151
delta_theta[37],-0.026711308019275997,-0.02679585,0.0696550548695769,0.07000533267,-0.13989169999999998,0.08831852999999983,0.9999677244981101,11418.15079118327,9433.191669601129
delta_theta[38],-0.026326189333006005,-0.0270712,0.05733363025556341,0.057516577439999994,-0.1182283,0.07023809999999994,1.0000165536511105,11730.035827417114,9914.072927888066
delta_theta[39],-0.025750381842790996,-0.02581575,0.06909457343359975,0.06951014426999999,-0.1385791,0.09009118999999988,1.0003523218493684,12027.581376005288,10119.159179003258
delta_theta[40],-0.027511110580546998,-0.028336550000000002,0.05731874291201879,0.05800338915,-0.11962464999999999,0.06788486999999996,1.0001107953630612,12090.662248074585,10146.18263604037
delta_theta[41],-0.027247669998731,-0.02643415,0.06951348970182414,0.06998346431999998,-0.1422338,0.08693103499999995,0.9999623066138404,11999.865702226856,9983.319121716044
delta_theta[42],-0.02632946175696,-0.02787055,0.06951205539753345,0.06923008113,-0.13807425,0.08979063499999998,1.0004122719480182,10832.42568657838,9006.615250985647
delta_theta[43],-0.026918971935643,-0.02708155,0.06902546648389699,0.06867351308999999,-0.14175704999999997,0.08645604999999994,1.0001225629844772,11034.67737115428,9716.823366986324
delta_theta[44],-0.026252306733979998,-0.02649495,0.06660437175452655,0.06544826505,-0.13420055,0.08599544999999999,0.9999030638138308,11242.59650174026,9395.621167649533
