.draw,parameter,estimate
13,p_multi_other,0.1924504603861642
13,p_switch_trump,0.10199097758825798
13,p_switch_desantis,0.898009022411742
14,p_h2h_trump,0.48491883337291875
14,p_h2h_desantis,0.5150811666270814
14,p_multi_trump,0.4644410804166293
14,p_multi_desantis,0.34288341224579333
14,p_multi_other,0.19267550733757746
14,p_switch_trump,0.10628103820384069
14,p_switch_desantis,0.8937189617961594
15,p_h2h_trump,0.48816177097443453
15,p_h2h_desantis,0.5118382290255655
15,p_multi_trump,0.46216376172835105
15,p_multi_desantis,0.35039368677525196
15,p_multi_other,0.18744255149639705
15,p_switch_trump,0.13869854543984467
15,p_switch_desantis,0.8613014545601553
16,p_h2h_trump,0.4909393039633829
16,p_h2h_desantis,0.5090606960366171
16,p_multi_trump,0.45732720759852297
16,p_multi_desantis,0.3509154051165934
16,p_multi_other,0.19175738728488362
16,p_switch_trump,0.1752844927685851
16,p_switch_desantis,0.824715507231415
17,p_h2h_trump,0.4815789611117461
17,p_h2h_desantis,0.518421038888254
17,p_multi_trump,0.46404385078025
17,p_multi_desantis,0.342109487917873
17,p_multi_other,0.19384666130187708
17,p_switch_trump,0.09045866569859913
17,p_switch_desantis,0.9095413343014008
18,p_h2h_trump,0.4790778325491763
18,p_h2h_desantis,0.5209221674508238
18,p_multi_trump,0.4622625649821922
18,p_multi_desantis,0.3433730853483171
18,p_multi_other,0.19436434966949068
18,p_switch_trump,0.08651415547953013
18,p_switch_desantis,0.91348584452047
19,p_h2h_trump,0.48646750944749556
19,p_h2h_desantis,0.5135324905525045
19,p_multi_trump,0.4582908618459891
19,p_multi_desantis,0.3469805235688321
19,p_multi_other,0.1947286145851789
19,p_switch_trump,0.14469700645449474
19,p_switch_desantis,0.8553029935455053
20,p_h2h_trump,0.4902676827986773
20,p_h2h_desantis,0.5097323172013228
20,p_multi_trump,0.4607771545202646
20,p_multi_desantis,0.3442521751580002
20,p_multi_other,0.19497067032173526
20,p_switch_trump,0.1512562285893988
20,p_switch_desantis,0.8487437714106012
21,p_h2h_trump,0.48656452406361195
21,p_h2h_desantis,0.5134354759363882
21,p_multi_trump,0.45754233773463926
21,p_multi_desantis,0.3462465475013885
21,p_multi_other,0.19621111476397232
21,p_switch_trump,0.14791305968514704
21,p_switch_desantis,0.852086940314853
22,p_h2h_trump,0.49504786265774686
22,p_h2h_desantis,0.504952137342253
22,p_multi_trump,0.45739083767925853
22,p_multi_desantis,0.34699964923668025
22,p_multi_other,0.19560951308406105
22,p_switch_trump,0.19251121473987626
22,p_switch_desantis,0.8074887852601238
23,p_h2h_trump,0.49248590749662774
23,p_h2h_desantis,0.5075140925033722
23,p_multi_trump,0.45641880838365895
23,p_multi_desantis,0.3484450840172448
23,p_multi_other,0.1951361075990962
23,p_switch_trump,0.18483047323598367
23,p_switch_desantis,0.8151695267640163
24,p_h2h_trump,0.49248590749662774
24,p_h2h_desantis,0.5075140925033722
